_id,Collection_date,forcens_lat,forcens_long,ind_area,ind_area_log,ind_diam,IRN,Lat_decimal,Long_decimal,num_neighb_300km,ocean,pp_value,rel_abund_median_300km,rel_abund_nearest,Sea_Depth_meters,species,title_abbrev,tmn_0m,total_ind,Vessel,ZF_PF_no_
2956,26/08/1889,-15.15,-176.49,232548,12.35685,618.5977,5465420,-15.65,-179.0625,1,Pacific,308.0549,0.001006036,0.001006036,-2519,dutertrei,N. dutertrei,29.3,17,HMS Egeria,6420
2982,16/05/1955,-34,172,68108.28,11.12885,336.0444,5465423,-33.88333,173.8333,2,Pacific,367.9195,0.004901961,0,-2464,dutertrei,N. dutertrei,19.643,20,HMNZS Lachlan,6423
3215,06/09/1897,0,-164.98,132575.5,11.79491,433.1481,5465629,1.21333,-161.8367,1,Pacific,659.8188,0.09278351,0.09278351,-4634,obliquiloculata,P. obliquiloculata,28.347,14,HMS Penguin,6629
3011,21/03/1876,-24.06667,-15.11667,143671.7,11.87529,474.3834,5465607,-21.25,-14.03333,1,Atlantic,181.1255,0,0,-3740,obliquiloculata,P. obliquiloculata,22.5,4,HMS Challenger,6607
3074,31/07/2005,-12.3,64.73333,207965.9,12.24513,549.6066,5465616,-12.11667,64.125,5,Indian,410.9045,0.0623053,0.09281437,-3322,obliquiloculata,P. obliquiloculata,27.745,11,HMS Sealark,6616
2960,09/09/1958,-20.96667,-174.4333,125406.6,11.73932,426.5747,5465421,-20.95,-175.2333,2,Pacific,636.0137,0.005371267,0.004651163,-869,dutertrei,N. dutertrei,25.579,3,RNZFA Tui,6421
2986,16/05/1955,-34,172,88969.44,11.39605,365.8236,5465423,-33.88333,173.8333,2,Pacific,367.9195,0.004901961,0,-2464,dutertrei,N. dutertrei,19.643,20,HMNZS Lachlan,6423
3225,06/09/1897,0,-164.98,299691.1,12.61051,651.7143,5465629,1.21333,-161.8367,1,Pacific,659.8188,0.09278351,0.09278351,-4634,obliquiloculata,P. obliquiloculata,28.347,14,HMS Penguin,6629
3014,31/01/1953,-13.9,-125.35,166616.3,12.02345,493.664,5465608,-13.09167,-124.28,2,Pacific,400.7639,0.03307055,0.02743142,-3456,obliquiloculata,P. obliquiloculata,25.12,10,RV Horizon,6608
3079,31/07/2005,-12.3,64.73333,258441.4,12.46242,611.7811,5465616,-12.11667,64.125,5,Indian,410.9045,0.0623053,0.09281437,-3322,obliquiloculata,P. obliquiloculata,27.745,11,HMS Sealark,6616
